Time,Title,Speaker(s)
**10-10:15am**,**Introduction** ([slides](https://docs.google.com/presentation/d/1Y1ekBIN61yjHObmw9kk-8ONSSJ-VgUNA/edit?usp=sharing&ouid=105297454540541468964&rtpof=true&sd=true)),"[Carlos Maltzahn](/author/carlos-maltzahn) (UC Santa Cruz), [Philip Kufeldt](/author/philip-kufeldt)"
**10:15-noon**,**Session 1**,
10:15-11:15am,"**IEEE Distinguished Lecture:** [Magnetic data storage technology; from the invention of perpendicular magnetic recording (PMR) to the social integration](/talks/20230817/yoichiro.tanaka) ([slides](/talks/20230817/yoichiro.tanaka/slides.pdf))","[Yoichiro Tanaka](/author/yoichiro-tanaka) (Tohoku University)"
11:15-11:30am,Q&A and Discussion,
11:30-11:45am,[Institutional Support for Experimental Systems Research](/talks/20230817/carlos.maltzahn) ([slides](https://docs.google.com/presentation/d/1XHCcD1yNSyyNklJnPDttfcLbNP5nJc1V/edit?usp=sharing&ouid=105297454540541468964&rtpof=true&sd=true)),[Carlos Maltzahn](/author/carlos-maltzahn) (UC Santa Cruz)
11:45-noon,Q&A and Discussion,
**noon-1pm**,**Lunch** (provided),
**1-2:05pm**,**Session 2**,
1-1:20pm,[Contemplating a new Compute-Memory Hierarchy through the lens of an Acceleration Programming Interface](/talks/20230817/pankaj.mehra/),"[Pankaj Mehra](/author/pankaj-mehra/) (UCSC, Elephance Memory)"
1:20-1:35pm,[Apache Arrow](https://arrow.apache.org/) ([slides](/talks/20230817/ian.cook/slides.pdf)),[Ian Cook](/author/ian-cook) (Voltron Data)
1:35-1:50pm,[Substrait - Engine & Language Independent Data Compute Instructions](https://substrait.io) ([slides](https://docs.google.com/presentation/d/1TPU0YGFoSbguh2AfZO2XHU735LfX5kFuPT08VeEU9zQ/edit#slide=id.g1476627d6f9_0_213)),[Jacques Nadeau](/author/jacques-nadeau) (Sundeck)
1:50-2:05pm,[Kinetic Open Storage Update](/talks/20230817/philip.kufeldt) ([slides](https://docs.google.com/presentation/d/1Y9oqqHgG35OIZOkHJ2vnZF-B07yNHnZs/edit?usp=sharing&ouid=105297454540541468964&rtpof=true&sd=true)),[Philip Kufeldt](/author/philip-kufeldt)
**2:05-2:20pm**,**Break** (refreshments provided),
**2:20-3.05pm**,**Session 3**,
2:20-2:35pm,[Query processing for a computational storage system](/talks/20230817/aldrin.montana) ([slides](https://docs.google.com/presentation/d/1EXzTIhxg2BQzeeQ7iTLB8j9LTkVjEQTkbj48cfLqWPc/edit?usp=sharing)),[Aldrin Montana](/author/aldrin-montana) (UC Santa Cruz)
2:35-3:05pm,"[C2: LANL-Seagate’s Early Prototype for Near-Data, SQL-Like Query Processing](/talks/20230817/qing.zheng) ([slides](/talks/20230817/qing.zheng/c2-ucsc-workshop-slides.pdf))",[Qing Zheng](/author/qing-zheng) (Los Alamos National Lab)
**3:05-3:20pm**,**Break** (refreshments provided),
**3:20-4:10pm**,**Session 4**,
3:20-3:40pm,[Extending Composable Data Services into SmartNICS](/talks/20230817/craigulmer) ([slides](/talks/20230817/craigulmer/230519_ulmer_compsys_smartnics_final.pdf)),[Craig Ulmer](/author/craig-ulmer) (Sandia National Labs)
3:40-3:55pm,[Opportunistic Query Execution on SmartNICs for Analyzing In-Transit Data](/talks/20230817/jianshen.liu) ([slides](https://docs.google.com/presentation/d/1yt1s6fQ0ugHSJi9MxIbr4KkK3Gyns2J16hqX1Lj1hgY/edit#slide=id.g23baeb98e7b_0_253)),[Jianshen Liu](/author/jianshen-liu) (UC Santa Cruz)
3:55-4:10pm,[An HPC-Oriented Runtime Environment for Enabling Computational Storage](/talks/20230817/matthew.curry) ([slides](/talks/20230817/matthew.curry/atse-computational-storage.pdf)),[Matthew L. Curry](/author/matthew-curry) (Sandia National Labs)
**4:10-4:25pm**,**Break** (refreshments provided),
**4:25-5pm**,**Session 5**,
4:25-4:40pm,[Towards Faster Columnar Data Transport using RDMA](/talks/20230817/jayjeet.chakraborty) ([slides](/talks/20230817/jayjeet.chakraborty/cs-io-23-mochi.pdf)),[Jayjeet Chakraborty](/author/jayjeet-chakraborty) (UC Santa Cruz)
4:40-4:50,[A Methodology to Assist Kernel Offloading Decisions on Computational Storage](/talks/20230817/lokesh.jaliminche),[Lokesh Jaliminche](/author/lokesh-jaliminche) (UC Santa Cruz)
4:50-5pm,[Split gRPC: An Isolation Architecture for RPC Stacks on SmartNICs](/talks/20230817/esteban.ramos) ([slides](https://docs.google.com/presentation/d/18e9gYKn6ls_Tk79vXAEtqe3s7CU1zIkg5sjogCqU8z8/edit#slide=id.p)),[Esteban Ramos](/author/esteban-ramos) (UC Santa Cruz)
